subject,dprime,C_intercept,C_slope
10,2.756553814999282,0.13483305412546745,0.010273519712495903
11,2.964501098887939,0.5523782983301126,0.007283927711162675
12,3.793646954613754,3.851108431519343e-17,0.00408548359965476
13,0.16732024674878943,0.5406637241757509,0.014164287933914508
14,0.34598184474942295,0.2764062240404213,0.009568021688212773
15,-0.12570494328784665,0.15308640972116894,0.026650590286145057
16,0.5934356214071639,0.14088581780749268,0.051456218226940235
17,2.431252602794956,0.29401859030543737,-0.005618683343082333
18,0.38197576769654207,0.19158358111873022,0.012954823144748922
19,4.6813513788353465,0.11738173751726062,0.0
20,1.2391880682388088,0.5903363237115199,0.01727022714560018
21,3.4748893963054917,0.02339206650605348,0.01705165725319202
22,-0.4336628381845957,-0.42965850974203684,0.014856870932269142
23,1.4957171895266044,-0.0022822118790540094,0.005188596169848784
24,2.912608891973889,0.713441797227251,0.016466116374805457
25,2.6206693345941825,0.01524554906600003,0.006735241793006492
26,0.7625912379470533,0.23341892159614666,0.0033514884001212848
27,1.1566816532206348,0.28205144780075536,0.013360980154503205
28,2.193607124187027,0.0022822118790541295,0.027979511425635796
29,2.92015073448154,0.10536992214406207,0.019065380266081424
30,2.6206693345941825,-0.009325901852511285,0.009694376817680785
31,0.27558124092525343,-0.20365887260616464,0.026796327904710388
32,0.6442699282399666,0.19397179796147748,0.00371913670707702
33,0.8087134627269659,0.01865440783919485,0.060042715775463364
34,0.9112808233481818,0.16504313282087543,-0.006221699753588609
35,0.13076724101624942,-0.4902444776999083,0.09748498304906963
36,1.939265560554893,-0.1590882067125607,0.030620841050803184
37,0.4813115423909971,-0.11719088959023971,0.06964160469585849
38,1.668465444766773,0.06768147474285448,-0.01368744324069979
39,1.9796565577851615,0.1811284254232561,0.015927633981122093
